modificado,nombre,pagina,tipo,kb,link,disponible
,MATRIZ DE PRODUCCION (EN MILES DE BOLIVIANOS DE 1990) ( 1992),Matrices de Producción,,,https://nimbus.ine.gob.bo/index.php/s/HaEKCybfGExPXPK/download,False
,BOLETÍN ESTADÍSTICO COMEX ENERO A DICIEMBRE 2018 Y 2019 CIFRAS PRELIMINARES,Saldo Comercial,,,https://nimbus.ine.gob.bo/index.php/s/Hbk7JE9oSok4kN9/download,True
,GLOSARIO Y FICHA TÉCNICA,Emigración Internacional,,,https://nimbus.ine.gob.bo/index.php/s/HcnnjArJSWcgNTK/download,False
,"BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024",Servicios Básicos,,,https://nimbus.ine.gob.bo/index.php/s/HjBY9EEoBW2ZL4n/download,False
,"BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024",Equipamiento del Hogar,,,https://nimbus.ine.gob.bo/index.php/s/Hs3YpsarQpyygtr/download,False
,"BOLIVIA: POBLACIÓN EN VIVIENDAS PARTICULARES Y PORCENTAJE DE POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA POR CATEGORÍAS SELECCIONADAS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Censos,,,https://nimbus.ine.gob.bo/index.php/s/JHNWNoykMbZNWr5/download,False
,MATRIZ DE PRODUCCION A PRECIOS CORRIENTES 2013,Matrices de Producción,,,https://nimbus.ine.gob.bo/index.php/s/JydyBkf9AEBx2qs/download,False
,"BOLIVIA: INCIDENCIA EN EL PRODUCTO INTERNO BRUTO A PRECIOS CONSTANTES POR TIPO DE GASTO, 1989 – 2024",Introducción,,,https://nimbus.ine.gob.bo/index.php/s/KXKLggdXjKb9BAf/download,False
,"BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024",Equipamiento del Hogar,,,https://nimbus.ine.gob.bo/index.php/s/KabNZTWsXQN4Nr4/download,False
,"BOLIVIA DEFLACTOR IMPLÍCITO DE LA OFERTA Y DEMANDA FINAL POR COMPONENTE SEGÚN TRIMESTRE, 1990 – 2024",Producto Interno Bruto Trimestral,,,https://nimbus.ine.gob.bo/index.php/s/LKtgXPB3KtW4KrA/download,False
,"BOLIVIA: PRODUCTO INTERNO BRUTO A PRECIOS CONSTANTES POR ACTIVIDAD ECONÓMICA SEGÚN TRIMESTRE, 1990 – 2024",Producto Interno Bruto Trimestral,,,https://nimbus.ine.gob.bo/index.php/s/LgCGFBWiz2QccwP/download,False
,MATRIZ DE PRODUCCION A PRECIOS CORRIENTES 2011,Matrices de Producción,,,https://nimbus.ine.gob.bo/index.php/s/LiAFB3frJKAFWb3/download,False
,"BOLIVIA: VARIACIÓN DEL PRODUCTO INTERNO BRUTO A PRECIOS CONSTANTES SEGÚN ACTIVIDAD ECONÓMICA, 1989 – 2024",Introducción,,,https://nimbus.ine.gob.bo/index.php/s/LkEKKoXmHnDk4fy/download,False
,MATRIZ DE PRODUCCION A PRECIOS CORRIENTES 2006,Matrices de Producción,,,https://nimbus.ine.gob.bo/index.php/s/MCGB9b5KBoagZiM/download,False
,MATRIZ DE PRODUCCION A PRECIOS CORRIENTES 2014,Matrices de Producción,,,https://nimbus.ine.gob.bo/index.php/s/MHxAsKDnjEgcY6P/download,False
,"BOLIVIA: PARTICIPACION EN EL PRODUCTO INTERNO BRUTO A PRECIOS CORRIENTES POR ACTIVIDAD ECONOMICA, 1988 – 2024",Introducción,,,https://nimbus.ine.gob.bo/index.php/s/MPTQamLEYKNjopC/download,False
